sta1 00:00:00:00:00:02 10.0.0.2/8
sta2 00:00:00:00:00:03 10.0.0.3/8
sta3 00:00:00:00:00:04 10.0.0.4/8
sta4 00:00:00:00:00:05 10.0.0.5/8
sta5 00:00:00:00:00:06 10.0.0.6/8
sta6 00:00:00:00:00:07 10.0.0.7/8
sta7 00:00:00:00:00:08 10.0.0.8/8
sta8 00:00:00:00:00:09 10.0.0.9/8
sta9 00:00:00:00:00:10 10.0.0.10/8
sta10 00:00:00:00:00:11 10.0.0.11/8
sta11 00:00:00:00:00:12 10.0.0.12/8
sta12 00:00:00:00:00:13 10.0.0.13/8
sta13 00:00:00:00:00:14 10.0.0.14/8
sta14 00:00:00:00:00:15 10.0.0.15/8
sta15 00:00:00:00:00:16 10.0.0.16/8
sta16 00:00:00:00:00:17 10.0.0.17/8
sta17 00:00:00:00:00:18 10.0.0.18/8
sta18 00:00:00:00:00:19 10.0.0.19/8
