src_ip,mean_bandwidth_mbps,mean_loss_percentage,scenario
sta1,6.11,24.06,load
sta2,3.83,26.45,load
sta3,3.12,26.81,load
sta4,2.73,31.55,load
sta5,3.31,20.0,load
sta6,2.49,27.73,load
sta7,2.19,23.55,load
sta8,1.64,26.86,load
sta9,1.67,22.99,load
sta10,1.66,33.5,load
sta11,1.68,27.9,load
sta12,1.68,26.91,load
sta13,1.66,18.07,load
sta14,2.01,5.0,load
sta15,1.63,20.1,load
sta16,2.02,5.34,load
sta17,2.0,4.95,load
sta18,2.0,4.87,load
sta1,1.33,19.28,nolb
sta2,1.35,17.06,nolb
sta3,1.3,16.1,nolb
sta4,1.33,22.3,nolb
sta5,1.27,15.81,nolb
sta6,1.31,19.96,nolb
sta7,1.27,20.12,nolb
sta8,1.27,17.71,nolb
sta9,1.31,19.85,nolb
sta10,1.27,22.84,nolb
sta11,1.29,22.87,nolb
sta12,1.27,21.25,nolb
sta13,2.07,5.67,nolb
sta14,2.01,5.61,nolb
sta15,1.71,11.34,nolb
sta16,1.34,18.28,nolb
sta17,1.25,16.64,nolb
sta18,1.27,16.14,nolb
sta1,3.34,22.72,nc
sta2,3.38,22.51,nc
sta3,3.39,28.49,nc
sta4,3.05,22.82,nc
sta5,2.69,23.43,nc
sta6,2.48,27.15,nc
sta7,2.36,24.39,nc
sta8,3.33,14.72,nc
sta9,3.07,16.29,nc
sta10,3.24,18.32,nc
sta11,2.97,20.09,nc
sta12,3.4,21.24,nc
sta13,1.99,0.67,nc
sta14,1.99,0.51,nc
sta15,1.99,0.45,nc
sta16,1.99,0.56,nc
sta17,1.99,0.43,nc
sta18,1.99,0.57,nc
