exec sudo mnexec -a 5330 iperf -s -u -p 8 -i 1
------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.2 port 49654
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 0.0000-1.0000 sec  56.0 KBytes   459 Kbits/sec  46.526 ms 2319/2359 (98%)
[  1] 0.0000-1.0000 sec  30 datagrams received out-of-order
[  2] local 10.0.0.1 port 8 connected with 10.0.0.6 port 36275
[  1] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec  46.526 ms 0/0 (-nan%)
[  3] local 10.0.0.1 port 8 connected with 10.0.0.5 port 33578
[  2] 0.0000-1.0000 sec  63.2 KBytes   517 Kbits/sec  59.719 ms 2828/2873 (98%)
[  2] 0.0000-1.0000 sec  40 datagrams received out-of-order
[  1] 2.0000-3.0000 sec  67.5 KBytes   553 Kbits/sec  15.925 ms 909/956 (95%)
[  4] local 10.0.0.1 port 8 connected with 10.0.0.4 port 44775
[  3] 0.0000-1.0000 sec  61.7 KBytes   506 Kbits/sec  183.836 ms 1132/1176 (96%)
[  3] 0.0000-1.0000 sec  29 datagrams received out-of-order
[  2] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 3.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec  15.925 ms 0/0 (-nan%)
[  4] 0.0000-1.0000 sec  4.31 KBytes  35.3 Kbits/sec  32.481 ms 807/811 (1e+02%)
[  4] 0.0000-1.0000 sec  1 datagrams received out-of-order
[  3] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 2.0000-3.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 4.0000-5.0000 sec  67.5 KBytes   553 Kbits/sec   1.842 ms 36/83 (43%)
[  3] 2.0000-3.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 3.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 2.0000-3.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  1] 5.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec   1.842 ms 0/0 (-nan%)
[  3] 3.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 4.0000-5.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 6.0000-7.0000 sec  0.000 Bytes  0.000 bits/sec   1.842 ms 0/0 (-nan%)
[  4] 3.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  3] 4.0000-5.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 5.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  5] local 10.0.0.1 port 8 connected with 10.0.0.3 port 59024
[  1] 7.0000-8.0000 sec  73.2 KBytes   600 Kbits/sec  42.617 ms 293/345 (85%)
[  1] 7.0000-8.0000 sec  1 datagrams received out-of-order
[  4] 4.0000-5.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  3] 5.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 6.0000-7.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  4] 5.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 0.0000-1.0000 sec  58.9 KBytes   482 Kbits/sec  46.875 ms 5778/5820 (99%)
[  5] 0.0000-1.0000 sec  3 datagrams received out-of-order
[  1] 8.0000-9.0000 sec  81.8 KBytes   670 Kbits/sec   2.783 ms 435/492 (88%)
[  3] 6.0000-7.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 7.0000-8.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 9.0000-10.0000 sec  0.000 Bytes  0.000 bits/sec   2.783 ms 0/0 (-nan%)
[  4] 6.0000-7.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 7.0000-8.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 8.0000-9.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 10.0000-11.0000 sec  71.8 KBytes   588 Kbits/sec  40.001 ms 144/195 (74%)
[  1] 10.0000-11.0000 sec  1 datagrams received out-of-order
[  4] 7.0000-8.0000 sec  0.000 Bytes  0.000 bits/sec  32.481 ms 0/0 (-nan%)
[  5] 2.0000-3.0000 sec  0.000 Bytes  0.000 bits/sec  46.875 ms 0/0 (-nan%)
[  3] 8.0000-9.0000 sec  0.000 Bytes  0.000 bits/sec  183.836 ms 0/0 (-nan%)
[  2] 9.0000-10.0000 sec  0.000 Bytes  0.000 bits/sec  59.719 ms 0/0 (-nan%)
[  1] 11.0000-12.0000 sec  68.9 KBytes   564 Kbits/sec  39.190 ms 70/119 (59%)
[  1] 11.0000-12.0000 sec  1 datagrams received out-of-order
