sta1 00:00:00:00:00:02 10.0.0.2/8
sta2 00:00:00:00:00:03 10.0.0.3/8
sta3 00:00:00:00:00:04 10.0.0.4/8
sta4 00:00:00:00:00:05 10.0.0.5/8
sta5 00:00:00:00:00:06 10.0.0.6/8
sta6 00:00:00:00:00:07 10.0.0.7/8
sta7 00:00:00:00:00:08 10.0.0.8/8
sta8 00:00:00:00:00:09 10.0.0.9/8
sta9 00:00:00:00:00:0a 10.0.0.10/8
sta10 00:00:00:00:00:0b 10.0.0.11/8
sta11 00:00:00:00:00:0c 10.0.0.12/8
sta12 00:00:00:00:00:0d 10.0.0.13/8
sta13 00:00:00:00:00:0e 10.0.0.14/8
sta14 00:00:00:00:00:0f 10.0.0.15/8
sta15 00:00:00:00:00:10 10.0.0.16/8
sta16 00:00:00:00:00:11 10.0.0.17/8
sta17 00:00:00:00:00:12 10.0.0.18/8
sta18 00:00:00:00:00:13 10.0.0.19/8
sta19 00:00:00:00:00:14 10.0.0.20/8
sta20 00:00:00:00:00:15 10.0.0.21/8
sta21 00:00:00:00:00:16 10.0.0.22/8
sta22 00:00:00:00:00:17 10.0.0.23/8
sta23 00:00:00:00:00:18 10.0.0.24/8
sta24 00:00:00:00:00:19 10.0.0.25/8
sta25 00:00:00:00:00:1a 10.0.0.26/8
sta26 00:00:00:00:00:1b 10.0.0.27/8
sta27 00:00:00:00:00:1c 10.0.0.28/8
sta28 00:00:00:00:00:1d 10.0.0.29/8
sta29 00:00:00:00:00:1e 10.0.0.30/8
sta30 00:00:00:00:00:1f 10.0.0.31/8
