------------------------------------------------------------
Server listening on UDP port 8
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.1 port 8 connected with 10.0.0.5 port 39077
[  2] local 10.0.0.1 port 8 connected with 10.0.0.3 port 33782
[  3] local 10.0.0.1 port 8 connected with 10.0.0.2 port 38659
[  4] local 10.0.0.1 port 8 connected with 10.0.0.4 port 48815
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  4] 0.0000-1.0000 sec   744 KBytes  6.09 Mbits/sec   0.369 ms 0/518 (0%)
[  1] 0.0000-1.0000 sec   619 KBytes  5.07 Mbits/sec   0.154 ms 0/431 (0%)
[  1] 0.0000-1.0000 sec  1 datagrams received out-of-order
[  2] 0.0000-1.0000 sec   617 KBytes  5.06 Mbits/sec   0.392 ms 0/430 (0%)
[  3] 0.0000-1.0000 sec   864 KBytes  7.08 Mbits/sec   0.252 ms 0/602 (0%)
[  4] 1.0000-2.0000 sec   732 KBytes  6.00 Mbits/sec   0.271 ms 0/510 (0%)
[  1] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.047 ms 0/425 (0%)
[  2] 1.0000-2.0000 sec   610 KBytes  5.00 Mbits/sec   0.478 ms 0/425 (0%)
[  3] 1.0000-2.0000 sec   854 KBytes  7.00 Mbits/sec   0.246 ms 0/595 (0%)
[  4] 2.0000-3.0000 sec   732 KBytes  6.00 Mbits/sec   0.281 ms 0/510 (0%)
[  1] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.044 ms 0/425 (0%)
[  2] 2.0000-3.0000 sec   610 KBytes  5.00 Mbits/sec   0.392 ms 0/425 (0%)
[  3] 2.0000-3.0000 sec   856 KBytes  7.01 Mbits/sec   0.212 ms 0/596 (0%)
[  1] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.110 ms 0/425 (0%)
[  2] 3.0000-4.0000 sec   610 KBytes  5.00 Mbits/sec   0.408 ms 0/425 (0%)
[  3] 3.0000-4.0000 sec   854 KBytes  7.00 Mbits/sec   0.301 ms 0/595 (0%)
[  4] 3.0000-4.0000 sec   734 KBytes  6.01 Mbits/sec   0.454 ms 0/511 (0%)
[  1] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.078 ms 0/425 (0%)
[  2] 4.0000-5.0000 sec   610 KBytes  5.00 Mbits/sec   0.475 ms 0/425 (0%)
[  3] 4.0000-5.0000 sec   854 KBytes  7.00 Mbits/sec   0.294 ms 0/595 (0%)
[  4] 4.0000-5.0000 sec   732 KBytes  6.00 Mbits/sec   0.327 ms 0/510 (0%)
[  1] 5.0000-6.0000 sec   610 KBytes  5.00 Mbits/sec   0.090 ms 0/425 (0%)
[  2] 5.0000-6.0000 sec   610 KBytes  5.00 Mbits/sec   0.428 ms 0/425 (0%)
[  3] 5.0000-6.0000 sec   854 KBytes  7.00 Mbits/sec   0.255 ms 0/595 (0%)
[  4] 5.0000-6.0000 sec   732 KBytes  6.00 Mbits/sec   0.336 ms 0/510 (0%)
[  1] 6.0000-7.0000 sec   612 KBytes  5.01 Mbits/sec   0.029 ms 0/426 (0%)
[  2] 6.0000-7.0000 sec   612 KBytes  5.01 Mbits/sec   0.369 ms 0/426 (0%)
[  4] 6.0000-7.0000 sec   732 KBytes  6.00 Mbits/sec   0.344 ms 0/510 (0%)
[  3] 6.0000-7.0000 sec   856 KBytes  7.01 Mbits/sec   0.194 ms 0/596 (0%)
[  1] 7.0000-8.0000 sec   610 KBytes  5.00 Mbits/sec   0.065 ms 0/425 (0%)
[  4] 7.0000-8.0000 sec   734 KBytes  6.01 Mbits/sec   0.286 ms 0/511 (0%)
[  2] 7.0000-8.0000 sec   610 KBytes  5.00 Mbits/sec   0.381 ms 0/425 (0%)
[  3] 7.0000-8.0000 sec   854 KBytes  7.00 Mbits/sec   0.237 ms 0/595 (0%)
[  4] 8.0000-9.0000 sec   732 KBytes  6.00 Mbits/sec   0.329 ms 0/510 (0%)
[  1] 8.0000-9.0000 sec   610 KBytes  5.00 Mbits/sec   0.105 ms 0/425 (0%)
[  2] 8.0000-9.0000 sec   610 KBytes  5.00 Mbits/sec   0.400 ms 0/425 (0%)
[  3] 8.0000-9.0000 sec   854 KBytes  7.00 Mbits/sec   0.246 ms 0/595 (0%)
[  4] 9.0000-10.0000 sec   732 KBytes  6.00 Mbits/sec   0.355 ms 0/510 (0%)
[  1] 9.0000-10.0000 sec   610 KBytes  5.00 Mbits/sec   0.073 ms 0/425 (0%)
[  2] 9.0000-10.0000 sec   610 KBytes  5.00 Mbits/sec   0.342 ms 0/425 (0%)
